@RELATION AllIssues_jquerytools

@ATTRIBUTE id numeric
@ATTRIBUTE number numeric
@ATTRIBUTE createdAt date 'yyyy-MM-dd\'T\'HH:mm:ss\'Z\''
@ATTRIBUTE title string
@ATTRIBUTE body string
@ATTRIBUTE commentsBodies string
@ATTRIBUTE owner {jquerytools}
@ATTRIBUTE repo {jquerytools}
@ATTRIBUTE isPullRequest {false,true}
@ATTRIBUTE isLabeled {false,true}
@ATTRIBUTE 'Label dateinput' {false,true}
@ATTRIBUTE 'Label need more info' {false,true}
@ATTRIBUTE 'Label not reproducible ' {false,true}
@ATTRIBUTE 'Label overlay' {false,true}
@ATTRIBUTE 'Label all tools ' {false,true}
@ATTRIBUTE 'Label confirmed' {false,true}
@ATTRIBUTE 'Label validator' {false,true}
@ATTRIBUTE 'Label website and docs' {false,true}
@ATTRIBUTE 'Label fix posted' {false,true}
@ATTRIBUTE 'Label scrollable' {false,true}
@ATTRIBUTE 'Label question' {false,true}
@ATTRIBUTE 'Label feature request' {false,true}
@ATTRIBUTE 'Label tabs' {false,true}
@ATTRIBUTE 'Label toolbox' {false,true}
@ATTRIBUTE 'Label high priority' {false,true}
@ATTRIBUTE 'Label rangeinput' {false,true}
@ATTRIBUTE 'Label incomplete' {false,true}
@ATTRIBUTE 'Label tooltip' {false,true}
@ATTRIBUTE 'Label bug' {false,true}
@ATTRIBUTE 'Label no fix planned' {false,true}
@ATTRIBUTE 'Label tests for tools 1.2.8' {false,true}
@ATTRIBUTE 'Label medium priority' {false,true}
@ATTRIBUTE 'Label low priority' {false,true}
@ATTRIBUTE 'Label deferred to 1.3' {false,true}

@DATA
102496,1,2009-12-25T05:49:24Z,"Overlay position should be calculated right before it s opened","Try triggering from Tooltip and you ll see the bug","",jquerytools,jquerytools,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
123527,2,2010-02-01T12:49:42Z,"function H is undefined with Firebug 1 4 5 open","Link http flowplayer org tools forum 55 31733 Issue I am unable to get jquery tools to work when firebug 1 4 5 is enabled It chokes on function H is undefined and stepping over that it chokes on many more Site works fine w o firebug console opened this is FF 3 5 5 and mac osx 10 5 8 Site http calq us","",jquerytools,jquerytools,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
123529,3,2010-02-01T12:54:08Z,"Scrollable disables left right arrow keys for all input fields","Link http flowplayer org tools forum 55 30548 Issue When the keyboard setting is enabled for scrollable other input fields ie input textarea on the page loose the ability to move their text cursor with the left right arrow keys To reproduce instantiate a scrollable keyboard is enabled by default Then place an input field anywhere on the page Perhaps it would be best to disable scrollable s keyboard functionality when an input field has the focus Or maybe disable keyboard setting by default The easy workaround fix was to simply set the keyboard to false when instantiating scrollable","fixed in new scrollable",jquerytools,jquerytools,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
123530,4,2010-02-01T12:57:27Z,"Content flashes on load in Safari webkit Overlay demo pages","Link http flowplayer org tools forum 55 34150 Issue With Safari webkit the overlay demos flash the content of the overlay for a brief second when page loads It happens on every refresh It occurs on two platforms","The problem is that e g standalone jsf terminates the head secton and starts the body section We probably need a headbody jsf that contains just head body so we can load all css in head Or close head and open body manually in the demo files",jquerytools,jquerytools,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
123531,5,2010-02-01T13:01:09Z,"Trigger Tooltip from area map","Link http flowplayer org tools forum 30 32842 Issue Is it possible to open tooltip from image map hotspot","",jquerytools,jquerytools,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
123557,6,2010-02-01T14:16:51Z,"Focus of input with more than 16 on page incorrectly triggers tooltip","Link http flowplayer org tools forum 55 34393 Issue what i said is that when the elements that trigger tooltip are more than 16 in one single page and these elements contains input element absolutely and then once your cursor is over these input elements the tooltip can automaticly float out it act just like the tooltip is triggered by the event of mouseover but it actually supposed to be called by click or focus event and if these elements is no more than 16 it performance well which is the tooltip can t appear when mouseover except the click event and focus event so why I m creating a large form and it s more than 16 element to use tooltips want to have this to be solved thanks","",jquerytools,jquerytools,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
123559,7,2010-02-01T14:20:57Z,"Tab Wizard demo doesn t recognise tab key press","Link http flowplayer org tools forum 55 34574 Issue Hi i just wanna let u know that in the wizard example using jquery tools 1 1 0 1 1 2 or 1 2 0 if you press the tab button the wizard check doesn t work and you continue to the next page of the wizard It just work on Opera Tested version 10 50 pre alpha","",jquerytools,jquerytools,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
123562,8,2010-02-01T14:27:07Z,"Permission denied Location toString","Link http flowplayer org tools forum 55 33625 Issue Hi I get this when the overlay is in a parent window and the contents of the overlay is an iframe that has a youtube video link in it Permission denied for iframe url to call method Location toString on parent url I found this link on the forums for flowplayer forums http flowplayer org forum 8 12101 Save issue","",jquerytools,jquerytools,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
123564,9,2010-02-01T14:32:21Z,"Expose postion problem","Link http flowplayer org tools forum 45 25785 Issue function getWidth var w window width if browser mozilla return w The above causes an issue as follows 1 Using FF go tohttp flowplayer org tools expose html 2 Resize your browser to make the horizontal scroll bar appear 3 Click in the field to invoke the expose functionality 4 Use the horizontal scrollbar to scroll to the right You ll see that the expose ends abruptly rather than extending to the edge of the browser window Changing the above to the following fixes it for me if browser mozilla return document width Will this cause problems elsewhere If no can it be incorporated in your next release Thanks Ignac Solution Link http flowplayer org tools forum 55 33033 Solution as the bug descript above I do some bugfix here in expose tools js find the function viewpoint and replace with the code below function viewport bug fixed by skysbird 2009 12 12 test by ie 6 7 8 chrome safari ff 2 3 5 var scrW scrH var is_chrome navigator userAgent toLowerCase indexOf chrome 1 if window innerHeight window scrollMaxY Mozilla scrW window innerWidth window scrollMaxX scrH window innerHeight window scrollMaxY else if is_chrome document body scrollHeight document body offsetHeight all but IE Mac scrW document body scrollWidth scrH document body scrollHeight else if document body IE Mac scrW document body offsetWidth scrH document body offsetHeight return scrW scrH","",jquerytools,jquerytools,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
123565,10,2010-02-01T14:34:38Z,"Autoscroll autoplay issues","Link http flowplayer org tools forum 55 32926 Issue I ve been having a few issues with two aspects of scrollable and autoscroll I m trying to get the autoscroll working on page load but it s impossible to use the API to stop the autoscroll for the first item","I ve now made a fix for this issue Here is a commit http github com jquerytools jquerytools commit 9a2e203e5b7cd9f5e48c383dd78017ca9866ea13 Here is the new version http github com jquerytools jquerytools raw 9a2e203e5b7cd9f5e48c383dd78017ca9866ea13 src scrollable scrollable autoscroll js Does it work for you",jquerytools,jquerytools,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
